born_on_date,born_month,born_year,collection,species_site,species,site,parents,tank_id,brood_no,brood_ID,individual,sl_mm,hw_mm,hw/sl,notes,gen
6-V-22,V,22,V-22,Xmal_xbir_F1,Xmal_xbir_F1,,m S00010?; b S000?09,roof,4,Xmal_xbir_F1_V-22_4,24,10.844,2.061,0.190059019,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,1,12.425,2.668,0.21472837,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,2,11.094,2.394,0.21579232,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,3,11.276,2.311,0.204948563,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,4,12.012,2.478,0.206293706,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,5,14.944,2.678,0.179202355,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,6,11.177,2.238,0.200232621,,
21-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,S000197,4,Xmal_xbir_F1_X-22_4,7,9.644,2.037,0.211219411,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,1,9.698,1.975,0.203650237,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,2,10.238,1.723,0.168294589,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,3,9.596,1.933,0.201438099,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,4,12.443,2.614,0.210077955,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,5,9.642,2.14,0.221945654,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,6,9.828,2.081,0.211741962,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,7,11.28,2.21,0.195921986,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,8,10.524,2.167,0.2059103,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,9,10.551,2.211,0.209553597,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,10,9.984,2.097,0.210036058,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,11,9.231,2.303,0.24948543,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,12,10.361,2.1,0.202683139,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,13,8.255,1.802,0.218291944,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,14,10.455,1.743,0.166714491,,
16-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,5,Xmal_xbir_F1_IX-22_5,15,9.453,2.133,0.225642653,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,1,11.829,2.311,0.195367318,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,2,11.015,1.902,0.172673627,,
